pmid,publication_year,publication_date,first_author,all_authors,title,issn,doi,pages,issue,volume,journal,journal_abbreviation,abstract
40813607,2025,,Su Xian,"Su Xian, Monika E Grabowska, Iftikhar J Kullo, Yuan Luo, Jordan W Smoller, Theresa L Walunas, Wei-Qi Wei, Gail P Jarvik, Sean D Mooney, David R Crosslin",Transformer patient embedding using electronic health records enables patient stratification and progression analysis.,2398-6352,10.1038/s41746-025-01872-z,521,1,8,NPJ digital medicine,NPJ Digit Med,"Current studies regarding the secondary use of electronic health records (EHR) predominantly rely on domain expertise and existing medical knowledge. A powerful representation approach can unleash the potential of discovering new medical patterns underlying the EHR. Here, we introduce an unsupervised method for embedding high-dimensional EHR data at the patient level to characterize heterogeneity in complex diseases and identify novel disease patterns linked to disparities in clinical outcomes. We applied this approach to 34,851 unique medical codes across 1,046,649 longitudinal patient events, including 102,740 patients in the Electronic Medical Records and GEnomics (eMERGE) Network. The model achieved strong predictive performance in predicting future disease (median AUROC = 0.87 within one year) and bulk phenotyping (median AUROC = 0.84). Notably, these patient embeddings revealed diverse comorbidity profiles and health outcomes, including distinct subtypes and progression patterns in colorectal cancer and systemic lupus erythematosus."
40794986,2025,,Derick D Jones,"Derick D Jones, Luis Santos Molina, Aidan Mullan, Ronna L Campbell",Association of Mental Health Disorders and Social Determinants of Health with Frequent Emergency Department Use.,1936-9018,10.5811/westjem.35599,905-917,4,26,The western journal of emergency medicine,West J Emerg Med,"Patients who frequently use the emergency department (ED) make up 8% of ED patients annually but account for up to 28% of all ED visits. Frequent ED utilization has been associated with mental health disorders. However, the association between social determinants of health (SDoH) and frequent ED use is not as well understood. Our objective was to identify associations between frequent ED use and mental health disorders and SDoH among patients visiting 19 Upper Midwest EDs in an integrated health system. We conducted a cross-sectional analysis of adult patients presenting to the 19 EDs from July 1, 2020-June 30, 2021. Using odds ratios (OR) and 95% confidence intervals obtained from multivariable logistic regression models, we characterized associations between mental health disorders (based on ICD-10 groupings) and 10 SDoH with frequent ED utilization (defined as ≥6 ED visits per year). A total of 228,814 visits among 134,452 patients were eligible for inclusion. After accounting for clinical features and mental health risk factors, the following had the strongest association with frequent ED use: unmet transportation needs (OR 1.73); high risk for financial resources (OR 1.52); food insecurity (OR 1.58); smoking tobacco (OR 1.31); and physical inactivity (OR 1.23). The top mental health risk factors for frequent ED utilization were adult personality and behavioral disorders (OR 4.0) and anxiety, stress and non-psychotic disorders (OR 3.35). We found strong associations between mental illness and SDoH and frequent ED use. The strongest SDoH risk factors included unmet transportation needs, financial resource risk, and food insecurity. The top two mental health risk factors were adult personality and behavioral disorders as well as anxiety and stress disorders, with differences that persisted when analyzed independently as well as when adjusting for other mental health risk factors. By understanding the interaction between social determinants of health and mental health disorders researchers can better address root causes and improve health outcomes among this vulnerable population."
40791996,2025,,Liisa Tolvanen,"Liisa Tolvanen, Karin Mossberg, Erin C Standen, Lindsey M Grace, Jocelyn R Lebow, Sean M Phelan, Daniel P Andersson, Afton M Koball",Integrative Strategies in Primary Care: Addressing Recurrent Weight Gain Post-Metabolic and Bariatric Surgery.,2055-2238,10.1007/s11695-023-06827-5,e70087,4,11,Obesity science & practice,Obes Sci Pract,"Metabolic and bariatric surgery (MBS) is the most effective and durable approach to treating obesity, yet recurrent weight gain occurs in a subset of patients. Primary care often serves as a routine point of contact for patients following MBS and is a potential gateway for addressing and/or preventing recurrent weight gain. Although guidelines for the management of recurrent weight gain after MBS exist, this narrative review was undertaken to clarify the role of the primary care providers in enhancing long-term outcomes and preventing weight gain after MBS. Regular follow-up in primary care provides an opportunity to identify challenges related to weight management and overall health outcomes, which may include concerns related to nutrition, mental or physical well-being, body image, motivation, and behavior change, for example. The availability of multidisciplinary providers within primary care settings, including behavioral health specialists, dietitians, and physical therapists, is an important strength of this setting in addressing potential post-MBS concerns such as recurrent weight gain. This review outlines clinical considerations for managing recurrent weight gain post-MBS in primary care and includes recommendations for both primary care providers and specialty clinicians working in primary care to deliver care effectively and mitigate weight stigma post-MBS."
40788690,2025,,Ryan Tatton,"Ryan Tatton, Stephen O'Neill, Deondre Jordan, Lisa E Vaughan, John C Lieske, Mira T Keddis",Kidney Stone Events and ESKD Incidence in Patients with Enteric Hyperoxaluria from Diverse Enteric Etiologies.,2641-7650,10.34067/KID.0000000908,,,,Kidney360,Kidney360,"Enteric Hyperoxaluria (EH) is a risk factor for calcium oxalate nephrolithiasis and kidney disease. The study compares patient characteristics and urine metabolic profiles at the time of EH diagnosis and kidney stones and end stage kidney disease (ESKD) events during follow-up in a cohort with diverse causes of EH. Adult patients with newly documented elevated urinary oxalate excretion (UOX) >40 mg/24hr between 1/1/2010 to 10/31/2023 and a known enteric diagnosis including inflammatory bowel disease, Exocrine Pancreatic Insufficiency (EPI), Celiac disease, Structural Intestinal Malabsorption (SIM), or Malabsorptive Bariatric surgery (Bariatric) were identified. Event rates and cumulative incidence of kidney stones and ESKD were assessed. Among 814 identified patients, the most common enteric etiology was Bariatric (n=524, 64%). Patients with ulcerative colitis had the highest prevalence of kidney stones at EH diagnosis (93.6%) compared to other enteric etiologies (p=0.002). Patients with SIM had the highest urinary oxalate, lower urinary citrate, and volume, compared to other enteric etiologies (p<0.05). Calcium oxalate supersaturation was similar among the enteric groups (p=0.67). Median stone event rate for the overall cohort was 0.70 stone events/year during a mean (SD) follow-up of 5.0 (3.9) years. The SIM and EPI groups experienced the highest stone events (median (IQR) 1.24 (0.28, 2.40) and 1.20 (0.41, 1.99) events/year, respectively) while the Bariatric group had the lowest event rates (median (IQR) 0.45 (0.00, 1.66 events/year)) (p<0.001). The SIM group had the highest ESKD incidence (17.8% 5 years post-diagnosis; log-rank test p<0.001). We describe a large EH cohort from diverse enteric etiologies. Significant heterogeneity exists in patient characteristics, urine metabolic risk factors and adverse kidney outcomes. Patients with SIM and EPI experienced the highest kidney stone events and patients with SIM had the highest ESKD incidence. This study highlights the urgent need for more granular information regarding the natural history and risk factors for kidney complications for EH patients to support interventional trials to improve outcomes."
40783325,2025,,M A Radosevich,"M A Radosevich, P M Wieruszewski, A M LeMahieu, E D Wittwer",The Use of Tris-hydroxymethyl Aminomethane in Patients Following Cardiac Surgery: A Retrospective Investigation.,1532-8422,10.1053/j.jvca.2025.07.020,,,,Journal of cardiothoracic and vascular anesthesia,J Cardiothorac Vasc Anesth,"To compare the metabolic and hemodynamic parameters of cardiac surgery patients following the receipt of tris-hydroxymethyl aminomethane (THAM) or sodium bicarbonate alone for the treatment of postoperative metabolic acidosis. Retrospective chart review. Single, high-volume academic cardiac surgery center. A total of 2,066 adult patients who underwent cardiac surgical procedures utilizing cardiopulmonary bypass were included. The receipt of THAM or sodium bicarbonate within the first 12 hours following cardiac surgery. The laboratory and hemodynamic parameters of cardiac surgery patients who received THAM or sodium bicarbonate for the treatment of metabolic acidosis were compared. Examples of these variables include pH, bicarbonate, PaCO"
40769456,2025,,Sharonne N Hayes,"Sharonne N Hayes, Rajiv Gulati",Navigating Therapeutic Ambiguity: Thrombolysis in Spontaneous Coronary Artery Dissection Presenting As ST-Segment Elevation Myocardial Infarction.,1916-7075,10.1016/j.cjca.2025.07.035,,,,The Canadian journal of cardiology,Can J Cardiol,
40767559,2025,,Jeffrey Wang,"Jeffrey Wang, Apoorva Gangavelli, Joseph E Tonna, J Trent Magruder, Akram M Zaaqoq, Suraj Yalamuri, P Elliott Miller, Jacob C Jentzer",Hyperoxia and End-Organ Complications Among Cardiogenic Shock Patients Supported by Veno-Arterial Extracorporeal Membrane Oxygenation.,1530-0293,10.1097/CCM.0000000000006810,,,,Critical care medicine,Crit Care Med,"To investigate whether severe hyperoxia predisposes to end-organ complications and whether these complications contribute to in-hospital mortality among cardiogenic shock (CS) patients supported in veno-arterial extracorporeal membrane oxygenation (VA-ECMO). Adult patients with CS from the Extracorporeal Life Support Organization Registry between 2010 and 2023 were categorized into normoxia (Pa o2 60-150 mm Hg), mild hyperoxia (Pa o2 151-300 mm Hg), and severe hyperoxia (Pa o2 > 300 mm Hg) based on their Pa o2 at 24 hours. The primary outcome was in-hospital mortality. End-organ complications were analyzed using multivariate logistic regression models, and causal mediation analysis was performed to estimate the direct and indirect effects of hyperoxia on mortality. Multicenter, multinational prospective cohort study. Adults with CS supported on VA-ECMO. Partial pressure of oxygen at 24 hours after VA-ECMO cannulation. A total of 10,541 patients were included (normoxia: 48.4%, mild hyperoxia: 30.0%, severe hyperoxia: 21.5%). There was higher in-hospital mortality in patients with severe hyperoxia (71.7%, adjusted OR [aOR]: 2.17; 95% CI, 1.19-2.50) and mild hyperoxia (63.8%, aOR: 1.34; 95% CI, 1.19-1.50) compared normoxia (52.7%; referent group). Severe hyperoxia was associated with more end-organ complications, which incrementally predicted higher mortality (aOR: 1.42; 95% CI, 1.25-1.61). Mediation analysis demonstrated that hyperoxia primary exerted a direct effect on mortality (86%), with contributions from neurologic (3.1%), hepatic (3.9%), renal (3.5%), and bleeding (2.3%) complications. Severe hyperoxia in patients with CS receiving VA-ECMO is associated with increased mortality and more end-organ complications. However, most of the effect of severe hyperoxia on mortality occurs via direct effects, independent of end-organ complications. These findings highlight the potential direct toxicity of hyperoxia and underscore the need for strategies to optimize oxygen delivery in this critically ill population."
40767285,2025,,Angela Y Higgins,"Angela Y Higgins, Sarah Zimmerman, Yongfei Wang, Daniel J Friedman, Kamil F Faridi, Matthew J Price, Vivek Y Reddy, David R Holmes, Jeptha P Curtis, James V Freeman",Long-Term Outcomes Following Left Atrial Appendage Occlusion in Medicare Beneficiaries: Outcomes From the National Cardiovascular Data Registry.,2047-9980,10.1161/JAHA.124.039780,e039780,,,Journal of the American Heart Association,J Am Heart Assoc,"Percutaneous left atrial appendage occlusion (LAAO) is an alternative to long-term anticoagulation for preventing ischemic stroke in patients with atrial fibrillation. There are limited long-term outcomes data for ""real-world"" patients undergoing LAAO. We performed a retrospective cohort study using the National Cardiovascular Data Registry LAAO registry from January 1, 2016, through December 31, 2019. We linked LAAO data to inpatient Medicare fee-for-service claims data using probabilistic matching to establish a cohort of patients 65 years and older undergoing LAAO with a WATCHMAN device. The primary outcomes were any stroke and all-cause mortality. A total of 34 975 patients with a mean±SD CHA Long-term stroke rates in a large nationally representative cohort of Medicare patients following LAAO were low and durably consistent during long-term follow-up despite a high thromboembolic risk. High mortality rates in this elderly population underscore the importance of incorporating patient values and preferences when considering LAAO."
40765844,2025,,Sahmla Gabriel,"Sahmla Gabriel, Mackson Ncube, David M Goldman, Eugene Scharf, Alan C Goldhamer, Toshia R Myers",Prolonged Water-Only Fasting Followed by a Whole-Plant-Food Diet Promotes Fat-Free Mass Recovery and Continued Fat Mass Loss in Adults With Overweight or Obesity.,2055-2238,10.1172/JCI83349,e70086,4,11,Obesity science & practice,Obes Sci Pract,"Conventional weight-loss strategies often result in inadequate fat loss, poor sustainability, and unintended lean mass loss. Prolonged water-only fasting followed by dietary change may offer an effective alternative, but its impact on body composition remains underexplored. This secondary analysis utilized dual-energy X-ray absorptiometry (DXA) to assess changes in fat-free mass (FFM), fat mass (FM), and bone mineral content (BMC) in adults [median (IQR) age: 62 (15) years with overweight or obesity. Participants underwent a median (IQR) of 14 (6) days of water-only fasting, followed by 6 (3) days of food reintroduction with a whole-plant-food diet and a subsequent maintenance period of 45 (5) days. Study visits occurred at baseline and at the end of each period. At end of fasting, FFM accounted for 74% of total BW lost during fasting. However, at the follow-up visit, the median (IQR) percentage change in total BW, FFM, FM, and visceral adipose tissue (VAT) mass from baseline was -8.2 (5.2), -4.4 (5.6), -14.7 (8.9), -15.8 (12.8) %, respectively. At follow-up, FM loss accounted for 67% of the total BW lost. BMC remained unchanged across all study visits. This protocol produced sustained FM loss, specifically VAT mass, and FFM recovery, suggesting it may support effective weight management."
40757397,2025,,Qiliang Ding,"Qiliang Ding, Jagadheshwar Balan, Noemi Vidal-Folch, Angela M Pickart, Guangchao Sun, Jesse R Walsh, Ramanath Majumdar, Eric W Klee, Stephen J Murphy, Devin Oglesbee, Ross A Rowsey, Linda Hasadsri",Rethinking the pathogenicity of intragenic DMD duplications detected by carrier screening: high prevalence of non-tandem duplications revealed by long-read sequencing.,1530-0366,10.1016/j.gim.2025.101539,101539,,,Genetics in medicine : official journal of the American College of Medical Genetics,Genet Med,"The pathogenicity of intragenic duplications depends on their structural configuration. Tandem duplications often disrupt reading frames and cause gene loss-of-function, whereas interspersed (non-tandem) duplications are largely benign. When the configuration cannot be determined, current guidelines presume a tandem structure, leading to some laboratories automatically classifying such variants as likely pathogenic or pathogenic. This study evaluates the validity of this presumption for DMD, in patients with and without clinical indications of dystrophinopathy. We performed high-coverage long-read genome sequencing on 15 patients with intragenic DMD duplications. Four patients had clinically indicated dystrophinopathy testing, while in the remaining 11 patients, the duplications were detected without clear indications of dystrophinopathy (e.g., through carrier screening). All four patients with clinical indications had tandem duplications. In contrast, 64% (7/11) of the cases without such indications had interspersed duplications, with four subsequently re-classified as likely benign, two (likely) pathogenic, and one uncertain. These duplications were often complex, involving co-duplications or co-deletions with other regions. Our findings challenge the presumption that intragenic DMD duplications are predominantly in tandem. This highlights the need for a cautious variant interpretation approach, particularly in carrier screening and other settings where variants are identified without indications of dystrophinopathy."
